Form Name,Form Number,Case types,Plain language description (1-2 sentences),Additional Comments ,
Petition—Marriage/Domestic Partnership (Family Law),FL-100*,"Divorce, legal separation, annulment","Start a divorce, legal separation, or annulment case if you are married, registered domestic partners, or both.  This identifies all the issues you want to include in a judgment.",filed w/summons,
Declaration Under Uniform Child Custody Jurisdiction and Enforcement Act (UCCJEA),FL-105/GC-102*,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support, DV, guardianship",Give the court important information about the children you have with your spouse or domestic partner. The court considers this information before making child custody and visitation orders.,"Could be filed with a petition, DVRO, could also be filed as an update with request or judgment.",Maybe - give the court information about where a child so that it can make a decision about custody and visitation.
Attachment to Declaration Under Uniform Child Custody Jurisdiction and Enforcement Act (UCCJEA),FL-105(A)/GC-120(A)*,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support, DV, guardianship",Gives you more space to tell the court about the children you have with your spouse or domestic partner.,,
Legal Steps for a Divorce or Legal Separation,FL-107-INFO,"Divorce, legal separation, annulment",Explains the steps to begin and complete a case for divorce or legal separation. It includes links to online resources to help understand each step in the process.,,
Summons (Family Law),FL-110*,"Divorce, legal separation, annulment",Tells your spouse or domestic partner that a court case has started and what will happen if a response is not filed in 30 days.,filed w/petition,
Proof of Service of Summons (Family Law),FL-115,"Divorce, legal separation, annulment","Tells the court that you had your spouse or domestic partner served with the legal papers to start your case. Tells when and where the papers were served, and who served them.",,
Notice and Acknowledgment of Receipt (Family Law),FL-117,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support",Tell the court that your spouse or domestic partner agreed to (and received) by mail the legal papers to start your case.,,
Response—Marriage/Domestic Partnership (Family Law),FL-120*,"Divorce, legal separation, annulment",Tell the court and your spouse or domestic partner that you are responding to the summons and petition and describe the orders you want the court to make in the case.,,
"Appearance, Stipulations, and Waivers (Family Law-Uniform Parentage-Custody and Support)",FL-130,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support",Tell the court that you and your spouse or domestic partner want the court to approve your written agreement or stipulated judgment without going to court for a trial.,,
Declaration and Conditional Waiver of Rights Under the Servicemembers Civil Relief Act of 2003,FL-130(A),"Divorce, legal separation, annulment, UPA, Pet. Cust/Support",Tell the court you are a servicemember on active duty and you want the court to enter your settlement agreement or stipulated judgment in your absence.,,
Declaration of Disclosure (Family Law),FL-140*,"Divorce, legal separation, annulment",List all the financial documents and information on this cover page that you give (disclose) to your spouse or domestic partner as part of the first or final set of disclosure documents.,,
Declaration Regarding Service of Declaration of Disclosure and Income and Expense Declaration,FL-141*,"Divorce, legal separation, annulment",Tell the court that you had the first or final set of financial documents served on your spouse or domestic partner.,,
Schedule of Assets and Debts (Family Law),FL-142,"Divorce, legal separation, annulment",v. 1 List all your known property and debt. This can be used as an attachment to Declaration of Disclosure (form FL-140) or you may use Property Declaration (form FL-160) instead. (see notes for v2), v.2. Tell the court and your spouse or domestic partner about the property and debt that belong to you individually or belong to both of you.,
Stipulation and Waiver of Final Declaration of Disclosure,FL-144, ,Tell the court that you and your spouse or domestic partner exchanged the preliminary (first) declaration of disclosure and agree not to exchange the final declaration of disclosure documents with each other.,,
Form Interrogatories (Family Law),FL-145,"Divorce, legal separation, annulment",Tell your spouse or domestic partner to answer specific questions and give documents before trial.,,
Income and Expense Declaration,FL-150*,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support, DV","Give your financial information to the court and to your spouse or domestic partner.  The court uses the information to make orders for support, attorneys fees, and other costs.","This form is required to be filed with a Request for Order (form FL-300) when the request is for an order for money (spousal /child support, atty fees). This is also an attachment to Declaration of Disclosure (form FL-140) or Property Declaration (form FL-160) may be used instead.",
Financial Statement (Simplified),FL-155,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support, DV",Give your financial information to the court and to your spouse or domestic partner. This also explains when to use either this form or form FL-150. The court considers the information before making child support orders.,This form can be filed with a Request for Order (FL-300) if child support is the only issue. ,
Spousal or Partner Support Declaration Attachment,FL-157,"Divorce, legal separation, Pet. Custo/support, DV","Explain the facts that support your request for a spousal or domestic partner support judgment. This is always attached to another form, like Declaration for Default or Uncontested Judgment (Form FL-170)",,
Supporting Declaration for Attorney's Fees and Costs Attachment,FL-158,"Divorce, legal separation, annulment, DV",Explain why the court should or should not order you or your spouse or domestic partner to pay attorneys fees and costs. This is always attached to Request for Attorney's Fees and Costs Attachment (form FL-319) or Responsive Declaration (form FL-320).,,
Property Declaration,FL-160*,"Divorce, legal separation, annulment",List your property and debts.  This can be used as an attachment to Declaration of Disclosure (form FL-140) or you may use Schedule of Assets and Debts (form FL-142) instead.,This form is mostly used as an attachment to form FL-140 (but form FL-160 can be used instead. It is mentioned in the Form Interrogatories (form FL-145) as something the other party can be required to complete.,
Continuation of Property Declaration (Family Law),FL-161*,"Divorce, legal separation, annulment",Give more details about your propery and debts and attach to Property Declaration (form FL-160),,
Request to Enter Default (Family Law-Uniform Parentage),FL-165*,"Divorce, legal separation, annulment, UPA, Pet Cust/Support","Ask the court for a decision (order) that time has ended for your spouse or domestic partner to file a response to your petition. This allows you to ask the court for a judgment based on a signed settlement agreement or, if no agreement, based on what you asked for in the petition.","This form is part of a packet (minimum = FL-165, FL-170, FL-180, FL-190)",
Declaration for Default or Uncontested Dissolution or Legal Separation (Family Law),FL-170*,"Divorce, legal separation, annulment",Tell the court more about your request to enter a judgment based on an agreement or the default of your spouse or domestic partner.,,
Case Information—Family Law,FL-172,"Divorce, legal separation, annulment",Used by courts to specify important issues in a family law case.,,
Family Centered Case Resolution Order,FL-174,"Divorce, legal separation, annulment - Court Use Only",Used by courts to provide a record of decisions made during a family centered case resolution conference.,"This usually completed by the court or an attorney, if there is one.",
Judgment,FL-180*,"Divorce, legal separation, annulment","The first pages of the final orders for your divorce, legal separation, or annulment case. You or your attorney complete the first page and use attachments for other final orders, like child custody and visitation, child support, spousal or domestic partner support, property division, attorneys fees, and other orders.",,
Judgment Checklist,FL-182,"Divorce, legal separation, annulment",This cover page lists the documents you give to the court to ask for a default or uncontested judgment.,,
Notice of Entry of Judgment (Family Law-Uniform parentage-Custody and Support),FL-190*,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support","Lists the type of judgment that the court made (granted), like divorce, legal separation, or annulment. It also states the date that your legal relationship changed and the date that the court entered the judgment.",,
Child Support Case Registry Form,FL-191*,"Divorce, legal separation, annulment, DV, UPA, Pet. Cust/Support, DV",Give information to the court about the child support or family support order in your case.,,
Notice of Rights and Responsibilities (Health-Care Costs and Reimbursement Procedures),FL-192,"Divorce, legal separation, annulment, DV, UPA, Pet. Cust/Support, DV",Explains how to ask the other parent to help pay for your child's health care cost that is not covered by insurance. It also describes how to change a child support order.,,
Income Withholding for Support,FL-195,"Divorce, legal separation, annulment, DV, UPA, Pet. Cust/Support, DV","Tells an employer that the court made an order for you or the other person in the case to pay child support, medical support, spousal or domestic partner support (and any past-due support). The order tells the employer how much money to take out of the employee's pay check, how often to take out the money, and where to send it. This is also known as a wage assignment.",,
Income Withholding for Support—Instructions,FL-196,"Divorce, legal separation, annulment, DV, UPA, Pet. Cust/Support, DV",Explains how to fill out Income Withholding for Support (form FL-195). Also includes information for the employer.,,
Petition To Determine Parental Relationship (Uniform Parentage),FL-200,UPA,Start a case to get a court order (judgment) that identifies the legal parents of a child. This is used by parents who are not married.,"This form is one of many forms that must be filed and served to start the case (FL-210, FL-105, FL-220, FL-115)",
Summons,FL-210*,UPA,Tells the other parent of the child that a court case has started and what will happen if the other parent's response is not filed in 30 days.,,
Response to Petition to Determine Parental Relationship (Uniform Parentage),FL-220,UPA,Tell the court and your spouse or domestic partner that you are responding to the summons and petition and describe the orders that you want the court to make in the case.,,
Declaration for Default or Uncontested Judgment (Uniform Parentage—Custody and Support),FL-230*,"UPA, Pet Cust/Support","Use this with Request for Default (form FL-165) to ask the court for a decision (order) that time has ended for the other parent to file a response to your petition. This allows you to ask the court for a judgment based on a signed settlement agreement or, if no agreement, based on what you asked for in the petition.",,
Advisement and Waiver of Rights Re: Establishment of Parental Relationship (Uniform Parentage),FL-235,UPA,Tell the court that you and the other parent have an agreement to establish parentage and that you agree to give up the rights listed in the form so that the court can approve the Judgment (form FL-250) without a trial. ,"For agreements, parties must submit FL-235, FL-240, and FL-250.",
Stipulation for Entry of Judgment Re: Establishment of Parental Relationship,FL-240*,UPA,"This is the first page of the agreement you have with the child's other parent about establishing parentage, child custody and visitation (parenting time), child support, and other matters.",,
Judgment (Uniform Parentage—Custody and Support),FL-250*,"UPA, Pet Cust/Support","The first pages of the final orders (judgment) that establish the legal parents of child. You or your attorney complete this and use attachments for other final orders, like child custody and visitation, (parenting time). child support, and others.",,
Petition for Custody and Support of Minor Children,FL-260 ,Pet Cust/Support,Ask the court for child custody and visitation (parenting time) orders when (1) you are not ending a marriage or domestic partnership; (2) you are not married but have legally adopted a child together; (3) you are not married but have a signed voluntary declaration of paternity; or (4) the juvenile court order name you as the child's parents.,This can be better organized on the web page with bullet points beneath the opening phrase.,
Response to Petition for Custody and Support of Minor Children,FL-270,Pet Cust/Support,Tell the court and the petitioner that you are responding to the summons and petition and describe the orders that you want the court to make in the case.,,
Notice of Motion to Cancel (Set Aside) Judgment of Parentage,FL-272*,"UPA, Govt Support",Tell the court and the other parent that you want a hearing to ask the court to cancel all the orders included in the judgment of parentage. Also ask the court to order genetic testing and enter a judgment stating that you are not the child's parent.,,
Declaration in Support of Motion to Cancel (Set Aside) Judgment of Parentage (Family Law - Governmental),FL-273*,"UPA, Govt Support",Give more information about your request to cancel a judgment of parentage. This must be attached to Notice of Motion to Cancel (Set Aside) Judgment of Parentage (form F-272).,,
Information Sheet for Completing Notice of Motion to Cancel (Set Aside) Judgment of Parentage,FL-274,"UPA, Govt Support","Explains who can ask the court to cancel a judgment of parentage, what forms are needed, and desribes the time frame for the filing.",,
Response to Notice of Motion to Cancel (Set Aside) Judgment of Parentage,FL-276*,"UPA, Govt Support",Tell the court and the other parties if you agree or disagree with the orders the other party asked for in Notice of Motion to Cancel (Set Aside) Judgment of Parentage (form FL-272).  Also give facts to support your response.,"In this action, DCSS might be involved. So, ""parties"" is used here",
rder After Hearing on Motion to Cancel (Set Aside) Judgment of Parentage (Family Law - Governmental),FL-278*,"UPA, Govt Support",States the court's decision (an order) about the request to cancel (set aside) a judgment of parentage.,,
Request for Hearing and Application to Cancel (Set Aside) Voluntary Declaration of Parentage or Paternity,FL-280*,"UPA, Govt Support","Tell the court and the other parties that you want a hearing to ask the court to cancel (set aside) the voluntary declaration of parentage or paternity. This is also used by the court to set the date, time, and location of the hearing.  ",,
Information Sheet for Completing Request for Hearing and Application to Cancel (Set Aside) Voluntary Declaration of Parentage or Paternity (Family Law - Governmental),FL-281,"UPA, Govt Support",Explains how to complete Request for Hearing and Application to Cancel (Set Aside) Voluntary Declaration of Parentage or Paternity (form FL-280) and describes the timeframe for filing the form.,,
Responsive Declaration to Application to Cancel (Set Aside) Voluntary Declaration of Parentage or Paternity,FL-285*,"UPA, Govt Support",Tell the court and the other parties if you agree or disagree with the orders the other party asked for in Request for Hearing on Motion to Cancel (Set Aside) Voluntary Declaration of Parentage (form FL-280). Also give facts to support your response.,,
Order After Hearing on Motion to Cancel (Set Aside) Voluntary Declaration of Parentage or Paternity (Family Law - Governmental),FL-290*,"UPA, Govt Support",States the court's decision (an order) about the request to cancel (set aside) a voluntary declaration of parentage or paternity.,,
Request for Order,FL-300*,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support, DV","Ask the court to make decisions (orders) about specific issues in your family law case. This is also used by the court to set the date, time, and location of the hearing.  ",,
Information Sheet for Request for Order (Family Law),FL-300-INFO,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support, DV","Explains how to fill out Request for Order (form FL-300) to ask the court to make decisions (orders) in your family law case. It includes: steps to get a hearing date on the court's regular calendar or ask for emergency orders, information about serving the papersparty served, and resources if you have questions or need legal help.",,
Declaration Regarding Notice and Service of Request for Temporary Emergency (Ex Parte) Orders,FL-303,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support, DV",Tells the court if and how you let the other party know that you are asking the court to make emergency orders in your case. You can also use the form to ask the court to order that notice is not needed before the court makes emergency orders.,,
emporary Emergency (Ex Parte) Orders,FL-305*,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support, DV",States the court's decision (order) when a party asked for temporary emergency orders. ,,
Request to Continue Hearing,FL-306,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support, DV",Ask to change your hearing date and explain why you need a new hearing date.,,
Order on Request to Continue Hearing,FL-307*,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support, DV",States the court's decision (order) when a party asked to change a hearing date.,,
Child Custody and Visitation (Parenting Time) Application Attachment,FL-311,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support, DV",Give the court and the other party more details about the orders you want the court to make about child custody and visitation (parenting time).,,
Request for Child Abduction Prevention Orders,FL-312*,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support, DV",Tell the court why you are worried that the other parent might kidnap your child and ask for orders to try to prevent that from happening.,,
Child Custody Information Sheet—Recommending Counseling,FL-313-INFO,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support, DV",Explains that some family courts use child custody recommending counseling (CCRC) to help parents create a parening plan agreement before the court makes orders about child custody and visitation. This form also explains the next steps if parents do not agree on a parenting plan during CCRC and includes information about how to find help.  ,,
