adoption,appeals,custody,child-support,civil,civil-harassment,cleaning-criminal-record,conservatorship,criminal,debt-collection,discovery-and-subpoenas,divorce,domestic-violence,elder-abuse,enforcement-of-judgment,eviction,fee-waivers,fl-motions-and-attachments,fl-enforcement,fl-interstate-actions,fl-governmental-child-support,fl-summary-dissolutions,fl-miscellaneous,gender-change,guardianship,gun-violence-prevention,juvenile,language-access,name-change,parentage,probate,proof-of-service,small-claims,traffic
FW-001,APP-001-INFO,FW-001,FW-001,FW-001,FW-001,FW-001,FW-001-GC,CR-100,FW-001,DISC-001,FW-001,CLETS-001,CLETS-001,EJ-001,FW-001,FW-001,FL-300,FL-400,FL-510,FL-600,FL-800,FL-910,CM-010,FW-001-GC,EPO-002,CLETS-001,INT-001,CM-010,FW-001,FW-001,APP-009,SC-100,CR-141-INFO
FW-001-INFO,APP-002,FW-001-INFO,FW-001-INFO,FW-001-INFO,FW-001-INFO,FW-001-INFO,FW-003-GC,CR-101,FW-001-INFO,DISC-002,FW-001-INFO,DV-100,FW-001,EJ-100,FW-001-INFO,FW-001-GC,FL-300 S,FL-401,FL-520,FL-605,FL-810,FL-912,FW-001,FW-003-GC,EPO-002 C,JV-050-INFO,INT-002(A),FW-001,FW-001-INFO,FW-001-INFO,APP-009-INFO,SC-100-INFO,CR-142
FW-003,APP-003,FW-003,FW-003,FW-003,FW-003,FW-003,FW-006-GC,CR-102,FW-003,DISC-003,FW-003,DV-101,FW-001-INFO,EJ-105,FW-003,FW-001-INFO,FL-300-INFO,FL-410,FL-530,FL-610,FL-810 S,FL-915,FW-001-INFO,FW-006-GC,EPO-002 K,JV-060-INFO,INT-100-INFO,FW-001-INFO,FW-003,FW-003,APP-009E,SC-100A,CR-143
FW-006,APP-004,FW-006,FW-006,FW-006,FW-006,FW-006,GC-005,CR-105,FW-006,DISC-004,FW-006,DV-105,FW-003,EJ-110,FW-006,FW-002,FL-300-INFO S,FL-411,FL-530 S,FL-611,FL-820,FL-920,FW-003,GC-005,EPO-002 S,JV-100,INT-110,FW-003,FW-006,FW-006,APP-109E,SC-101,CR-144
ADOPT-050-INFO,APP-005,CLETS-001,CLETS-001,CIV-010,CM-010,CR-180,GC-006,CR-106,EJ-001,DISC-005,FL-100,DV-108,FW-006,EJ-115,CP10,FW-002-GC,FL-303,FL-412,FL-560,FL-615,FL-825,FL-935,FW-006,GC-006,EPO-002 V,JV-101(A),INT-120,FW-006,FL-200,DE-111,CH-200,SC-103,CR-145
ADOPT-200,APP-006,DV-100,DV-100,CIV-020,CH-100,CR-181,GC-010,CR-106-INFO,EJ-100,DISC-010,FL-105,DV-109,EA-100,EJ-125,CP10.5,FW-003,FL-303 S,FL-415,FL-570,FL-615 S,FL-830,FL-940,NC-200,GC-010,GV-009,JV-110,INT-140,NC-100,FL-210,DE-111(A-3e),CH-200-INFO,SC-104,TR-100
ADOPT-205,APP-007,DV-101,DV-101,CIV-025,CH-100-INFO,CR-183,GC-015,CR-110,EJ-105,DISC-015,FL-107-INFO,DV-110,EA-109,EJ-130,UD-100,FW-003-GC,FL-304-INFO,FL-420,FL-575,FL-616,,FL-940 C,NC-225,GC-015,GV-020,JV-120,INT-200,NC-100-INFO,FL-220,DE-115,CH-250,SC-104A,TR-106
ADOPT-210,APP-008,DV-105,DV-105,CIV-050,CH-109,CR-184,GC-020,CR-111,EJ-110,DISC-020,FL-110,DV-112,EA-110,EJ-150,UD-105,FW-005,FL-305,FL-421,FL-580,FL-618,,FL-940 K,NC-230,GC-020,GV-020-INFO,JV-121,INT-300,NC-110,FL-230,DE-120,CR-106,SC-104B,TR-108
ADOPT-215,APP-009,DV-120,DV-120,CIV-090,CH-110,CR-185,GC-020(C),CR-112,EJ-115,DISC-030,FL-115,DV-115,EA-115,EJ-152,UD-106,FW-005-GC,FL-305 S,FL-430,FL-585,FL-618 S,,FL-940 S,NC-300,GC-020(C),GV-025,JV-122,INT-300 C,NC-110G,FL-235,DE-120(MA),DAL-012,SC-104C,TR-115
ADOPT-216,APP-009-INFO,DV-120-INFO,DV-120-INFO,CIV-100,CH-115,CR-186,GC-020(MA),CR-112 S,EJ-125,SUBP-001,FL-117,DV-115-INFO,EA-115-INFO,EJ-155,UD-110,FW-006,FL-306,FL-435,FL-590A,FL-620,,FL-940 V,NC-330,GC-020(MA),GV-030,JV-123,INT-300 CT,NC-120,FL-240,DE-120(P),DE-120(MA),SC-105,TR-120
ADOPT-220,APP-009E,DV-250,DV-250,CIV-105,CH-115-INFO,CR-187,GC-020(P),CR-113,EJ-130,SUBP-002,FL-120,DV-116,EA-116,EJ-156,UD-110 S,FW-006-GC,FL-306 S,FL-440,FL-592,FL-625,,FL-945,NC-500,GC-020(P),GV-100,JV-124,INT-300 F,NC-121,FL-250,DE-120(PA),DE-120(P),SC-105A,TR-130
ADOPT-225,APP-010,FL-100,FL-100,CIV-110,CH-116,CR-188,GC-020(PA),CR-115,EJ-150,SUBP-010,FL-130,DV-117,EA-120,EJ-160,UD-115,FW-007,FL-307,FL-445,FL-594,FL-625 S,,FL-950,NC-500-INFO,GC-020(PA),GV-100 C,JV-125,INT-300 K,NC-125,FL-260,DE-121,DE-120(PA),SC-107,TR-135
ADOPT-230,APP-011,FL-105,FL-107-INFO,CIV-120,CH-120,MC-025,GC-021,CR-117,EJ-152,SUBP-015,FL-130(A),DV-120,EA-120-INFO,EJ-165,UD-116,FW-007-GC,FL-307 S,FL-450,,FL-626,,FL-955,NC-510G,GC-021,GV-100 K,JV-126,INT-300 P,NC-130,FL-270,DE-121(MA),DE-121(MA),SC-108,TR-145
ADOPT-310,APP-012,FL-105(A),FL-115,CIV-130,CH-120-INFO,MC-031,GC-022,CR-118,EJ-155,SUBP-020,FL-140,DV-120-INFO,EA-130,EJ-170,UD-150,FW-008,FL-308,FL-455,,FL-626 C,,FL-955-INFO,NC-520,GC-022,GV-100 S,JV-127,INT-300 R,NC-130G,FL-272,DE-122,DV-200,SC-108A,TR-200
ADOPT-315,APP-013,FL-107-INFO,FL-150,CIV-140,CH-130,,GC-035,CR-119,EJ-156,SUBP-025,FL-141,DV-130,EA-200,EJ-175,SUM-130,FW-008-GC,FL-309,FL-460,,FL-626 K,,FL-955-INFO S,NC-530G,GC-035,GV-100 V,JV-128,INT-300 S,,FL-273,DE-125,DV-200-INFO,SC-109,TR-205
ADOPT-320,APP-014,FL-110,FL-155,CIV-141,CH-160,,GC-040,CR-120,EJ-160,SUBP-030,FL-142,DV-140,EA-200-INFO,EJ-180,POS-040,FW-010,FL-310,FL-461,,FL-626 S,,FL-956,,GC-040,GV-100-INFO,JV-129,INT-300 TG,,FL-274,DE-131,DV-250,SC-112A,TR-210
ADOPT-325,APP-014-INFO,FL-115,FL-191,CIV-150,CH-160-INFO,,GC-041,CR-125,EJ-165,SUBP-035,FL-144,DV-145,EA-250,EJ-182,,FW-010-GC,FL-311,FL-470,,FL-626 T,,FL-957,,GC-041,GV-100-INFO C,JV-130-INFO,INT-300 V,,FL-276,DE-135,EA-200,SC-113A,TR-215
ADOPT-330,APP-014A,FL-120,FL-192,CIV-151,CH-165,,GC-042,CR-126,EJ-170,SUBP-040,FL-145,DV-150,EA-260,EJ-185,,FW-011,FL-311 S,FL-475,,FL-626 V,,FL-958,,GC-042,GV-100-INFO K,JV-131,LA-350,,FL-278,DE-140,EA-200-INFO,SC-114,TR-220
ADOPT-331,APP-015-INFO,FL-200,FL-195,CIV-152,CH-170,,GC-042(MA),CR-131-INFO,EJ-175,SUBP-045,FL-150,DV-160,EA-600,EJ-190,,FW-011-GC,FL-312,FL-478,,FL-627,,FL-960,,GC-042(MA),GV-100-INFO S,JV-132,LA-400,,FL-280,DE-142,EA-250,SC-120,TR-225
ICWA-005-INFO,APP-015-INFO S,FL-210,FL-196,CIV-153,CH-175,,GC-045,CR-132,EJ-180,SUBP-050,FL-155,DV-160-INFO,EA-610,EJ-195,,FW-012,FL-312 S,FL-478-INFO,,FL-630,,FL-970,,GC-045,GV-100-INFO V,JV-133,LA-400 C,,FL-281,DE-147,EA-260,SC-120A,TR-235
ICWA-010(A),APP-016,FL-220,FL-200,CIV-160,CH-200,,GC-050,CR-133,EJ-182,,FL-157,DV-165,EA-620,,,FW-012-GC,FL-313-INFO,FL-480,,FL-630 S,,FL-980,,GC-050,GV-109,JV-134,LA-400 R,,FL-285,DE-147(S),EFS-005-CV,SC-130,TR-300
ICWA-020,APP-016 S,FL-260,FL-210,CIV-161,CH-200-INFO,,GC-051,CR-134,EJ-185,,FL-158,DV-170,EA-630,,,FW-015-INFO,FL-313-INFO C,FL-485,,FL-632,,FL-982,,GC-051,GV-109 C,JV-135,LA-400 S,,FL-290,DE-150,EFS-005-JV,SC-132,TR-300 o
