Case Type,Info Url,Info Url Title
"Adoption",https://www.courts.ca.gov/selfhelp-adoption.htm,"How-to instructions for Adoption"
"Custody and Parenting Time (Visitation)",https://www.courts.ca.gov/selfhelp-custody.htm,"How-to instructions for Custody and Parenting Time (Visitation)"
"Child Abuse and Neglect",https://www.courts.ca.gov/selfhelp-childabuse.htm,"How-to instructions for Child Abuse and Neglect"
"Child Support",https://www.courts.ca.gov/selfhelp-support.htm,"How-to instructions for Child Support"
"Civil Harassment",https://www.courts.ca.gov/1044.htm,"How-to instructions for Civil Harassment"
"Conservatorship",https://www.courts.ca.gov/selfhelp-conservatorship.htm,"How-to instructions for Conservatorship"
"Divorce or Separation",https://www.courts.ca.gov/selfhelp-divorce.htm,"How-to instructions for Divorce or Separation"
"Domestic Violence",https://www.courts.ca.gov/selfhelp-domesticviolence.htm,"How-to instructions for Domestic Violence"
"Elder and Dependent Adult Abuse",https://www.courts.ca.gov/1058.htm,"How-to instructions for Elder and Dependent Adult Abuse"
"Emancipation",https://www.courts.ca.gov/selfhelp-emancipation.htm,"How-to instructions for Emancipation"
"Evictions",https://www.courts.ca.gov/selfhelp-eviction.htm,"How-to instructions for Evictions"
"Gender Change",https://www.courts.ca.gov/genderchange.htm,"How-to instructions for Gender Change"
"Guardianship",https://www.courts.ca.gov/selfhelp-guardianship.htm,"How-to instructions for Guardianship"
"Gun Violence Restraining Orders",https://www.courts.ca.gov/33961.htm,"How-to instructions for Gun Violence Restraining Orders"
"Juvenile Delinquency",https://www.courts.ca.gov/selfhelp-delinquency.htm,"How-to instructions for Juvenile Delinquency"
"Name Change",https://www.courts.ca.gov/selfhelp-namechange.htm,"How-to instructions for Name Change"
"Parentage/Paternity",https://www.courts.ca.gov/selfhelp-parentage.htm,"How-to instructions for Parentage/Paternity"
"Restraining Order",https://www.courts.ca.gov/selfhelp-domesticviolence.htm,"How-to instructions for Restraining Order"
"Small Claims",https://www.courts.ca.gov/selfhelp-smallclaims.htm,"How-to instructions for Small Claims"
"Workplace Violence",https://www.courts.ca.gov/1045.htm,"How-to instructions for Workplace Violence"
